hobbies
curling
cycling
dance
dancing
darts
debate
deltiology
diecast collectibles
digital arts
digital photography
disc golf
do it yourself
dodgeball
dog sport
dolls
dominoes
dowsing
drama
drawing
driving
dumpster diving
eating out
educational courses
electronics
element collecting
embroidery
entertaining
equestrianism
aerobics
exercise
exhibition drill
falconry
fast cars
felting
fencing
field hockey
figure skating
fire poi
fishing
fishkeeping
flag football
floorball
floral arrangements
flower arranging
flower collecting and pressing
fly tying
flying
footbag
football
foraging
foreign language learning
fossil hunting
four wheeling
freshwater aquariums
frisbee golf
gambling
games
gaming
garage saleing
gardening
genealogy
geocaching
ghost hunting
glassblowing
glowsticking
gnoming
going to movies
golf
golfing
gongoozling
graffiti
grip strength
guitar
gun collecting
gunsmithing
gymnastics
gyotaku
handball
handwriting analysis
hang gliding
herping
hiking
home brewing
home repair
home theater
homebrewing
hooping
horse riding
hot air ballooning
hula hooping
hunting
ice hockey
ice skating
iceskating
illusion
impersonations
inline skating
insect collecting
internet
inventing
jet engines
jewelry making
jigsaw puzzles
jogging
judo
juggling
jukskei
jump roping
kabaddi
kart racing
kayaking
keep a journal
kitchen chemistry
kite boarding
kite flying
kites
kitesurfing
knapping
knife making
knife throwing
knitting
knotting
lacemaking
lacrosse
lapidary
larping
laser tag
lasers
lawn darts
learn to play poker
learning a foreign language
learning an instrument
learning to pilot a plane
leather crafting
leathercrafting
lego building
legos
letterboxing
listening to music
locksport
machining
macramé
macrame
magic
mahjong
making model cars
marbles
marksmanship
martial arts
matchstick modeling
meditation
metal detecting
meteorology
microscopy
mineral collecting
model aircraft
model building
model railroading
model rockets
modeling ships
models
motor sports
motorcycles
mountain biking
mountain climbing
mountaineering
movie and movie memorabilia collecting
mushroom hunting/mycology
musical instruments
nail art
needlepoint
netball
nordic skating
orienteering
origami
owning an antique car
paintball
painting
papermache
papermaking
parachuting
paragliding or power paragliding
parkour
people watching
photography
piano
pigeon racing
pinochle
pipe smoking
planking
playing music
playing musical instruments
playing team sports
poker
pole dancing
polo
pottery
powerboking
protesting
puppetry
puzzles
pyrotechnics
quilting
r/c boats
r/c cars
r/c helicopters
r/c planes
racing pigeons
racquetball
radio-controlled car racing
rafting
railfans
rappelling
rapping
reading
reading to the elderly
record collecting
relaxing
renaissance faire
renting movies
rescuing abused
 abandoned animals
robotics
rock balancing
rock climbing
rock collecting
rockets
rocking aids babies
roleplaying
roller derby
roller skating
rugby
rugby league football
running
sailing
saltwater aquariums
sand art
sand castles
scrapbooking
scuba diving
sculling or rowing
sculpting
sea glass collecting
seashell collecting
self defense
sewing
shark fishing
shooting
shooting sport
shopping
shortwave listening
singing
singing in choir
skateboarding
skeet shooting
sketching
skiing
skimboarding
sky diving
skydiving
slack lining
slacklining
sleeping
slingshots
slot car racing
snorkeling
snowboarding
soap making
soapmaking
socializing with friends/neighbors
speed cubing
speed skating
spelunkering
spending time with family/kids
sports
squash
stamp collecting
stand-up comedy
stone collecting
stone skipping
storm chasing
storytelling
string figures
sudoku
surf fishing
surfing
survival
swimming
table football
table tennis
taekwondo
tai chi
tatting
taxidermy
tea tasting
tennis
tesla coils
tetris
textiles
texting
tombstone rubbing
tool collecting
tour skating
toy collecting
train collecting
train spotting
trainspotting
traveling
treasure hunting
trekkie
triathlon
tutoring children
tv watching
ultimate frisbee
urban exploration
vehicle restoration
video game collecting
video games
video gaming
videophilia
vintage cars
violin
volleyball
volunteer
walking
warhammer
watching movies
watching sporting events
water sports
weather watcher
web surfing
weightlifting
windsurfing
wine making
wood carving
woodworking
working in a food pantry
working on cars
world record breaking
worldbuilding
wrestling
writing
writing music
writing songs
yo-yoing
yoga
yoyo
ziplining
zumba
